Entity,Code,Year,Diphtheria,Measles,Mumps,Pertussis,Polio,Rubella,Measles (Annotations)
United States,USA,2009,0,72,1991,16858,1,3,Data for 2026 is incomplete
United States,USA,2010,0,63,2612,27550,0,5,Data for 2026 is incomplete
United States,USA,2011,0,220,404,18719,0,4,Data for 2026 is incomplete
United States,USA,2012,1,55,229,48277,0,9,Data for 2026 is incomplete
United States,USA,2013,0,187,584,28639,1,9,Data for 2026 is incomplete
United States,USA,2014,1,667,1223,32971,0,6,Data for 2026 is incomplete
United States,USA,2015,0,191,1329,20762,0,5,Data for 2026 is incomplete
United States,USA,2016,0,86,6369,17972,0,1,Data for 2026 is incomplete
United States,USA,2017,0,120,6109,18975,0,7,Data for 2026 is incomplete
United States,USA,2018,1,381,2515,15609,0,4,Data for 2026 is incomplete
United States,USA,2019,2,1274,3780,18617,0,6,Data for 2026 is incomplete
United States,USA,2020,1,13,694,6124,0,6,Data for 2026 is incomplete
United States,USA,2021,0,49,189,2116,0,7,Data for 2026 is incomplete
United States,USA,2022,1,121,386,3044,1,7,Data for 2026 is incomplete
United States,USA,2023,,59,,,,,Data for 2026 is incomplete
United States,USA,2024,,285,,,,,Data for 2026 is incomplete
United States,USA,2025,,2288,,,,,Data for 2026 is incomplete
United States,USA,2026,,2073,,,,,Data for 2026 is incomplete
